"","Title","CRDC_Id","Document_Date","Agency","Agency_Publication_Number","Length","Permalink","Congress_Session","Author","Subjects","Descriptors","Organization_Terms","Legislative_Terms","CIS_Number","Committee","Person_Term","Public_Law","Statute_At_Large","Sudoc_Number"
"55","Water Authorization Legislation in Brief: H.R. 8 and S. 2800","CRS-2018-RSI-182137","June 14, 2018","Resources, Science, and Industry Division (CRS)","R45212","14 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2018-rsi-182137?accountid=14537","115 -2","Carter,  Nicole T.; Tiemann,  Mary","Water resources;  Infrastructure;  Government spending;  Investments",NA,"Army Corps of Engineers;  Environmental Protection Agency--EPA","America’s Water Infrastructure Act; Water Resources Development Act",NA,NA,NA,NA,NA,NA
"56","Overview of the Federal Tax System","CRS-2013-GVF-0229","May 16, 2013","Government and Finance Division (Congressional Research Service)","RL32808","29 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2013-gvf-0229?accountid=14537","113 -1","Sherlock,  Molly F.; Marples,  Donald J.","Taxation;  Estate taxes;  Gift taxes;  Withholding taxes;  Tax incentives;  Tax shelters;  Depreciation;  Economic indicators;  Income taxes;  Excise taxes;  Corporate taxes;  Statistical data;  Government information;  Marriage","Business;  Competition",NA,NA,NA,NA,NA,NA,NA,NA
"57","Water Infrastructure Legislation in the 116th Congress: EPA, Reclamation, and U.S. Army Corps of Engineers Provisions, CRS Insight","CRS-2020-CRS-2010656","September 25, 2020","Congressional Research Service","IN11437","4 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2010656?accountid=14537","116 -2","Carter,  Nicole T.; Humphreys,  Elena H.; Ramseur,  Jonathan L.","Infrastructure;  Water resources;  Water resources management;  Government agencies",NA,"Bureau of Reclamation;  Army Corps of Engineers;  Environmental Protection Agency--EPA","Moving Forward Act; Drinking Water Infrastructure Act; America’s Water Infrastructure Act; Water Resources Development Act",NA,NA,NA,NA,NA,NA
"58","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2004-FDT-0404","June 01, 2004","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2004-fdt-0404?accountid=14537","108 -2","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"59","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2004-FDT-0433","July 14, 2004","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2004-fdt-0433?accountid=14537","108 -2","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"60","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2004-FDT-0461","August 27, 2004","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2004-fdt-0461?accountid=14537","108 -2","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"61","Water Resources Development Act of 2020 (S. 1811), CRS In Focus","CRS-2020-CRS-2013236","December 10, 2020","Congressional Research Service","IF11700","2 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2013236?accountid=14537","116 -2","Carter,  Nicole T.; Normand,  Anna E.","Water resources management;  Civil engineering;  Environmental research",NA,"Army Corps of Engineers","Water Resources Development Act",NA,NA,NA,NA,NA,NA
"62","Climate Change Adaptation by Federal Agencies:  An Analysis of Plans and Issues for Congress","CRS-2015-RSI-0135","February 23, 2015","Resources, Science, and Industry Division (Congressional Research Service)","R43915","104 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2015-rsi-0135?accountid=14537","114 -1","Leggett,  Jane A.","Government agencies;  Planning;  Climate change",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Congressional Authority to Limit Military Operations","CRS-2011-AML-0269","September 08, 2011","American Law Division (Congressional Research Service)","R41989","41 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2011-aml-0269?accountid=14537","112 -1","Elsea,  Jennifer K.; Garcia,  Michael John; Nicola,  Thomas J.","Constitutional law;  War;  Congressional powers;  Presidential powers;  Congressional-executive relations;  Military engagements;  Defense;  National security",NA,NA,"War Powers Resolution",NA,NA,NA,NA,NA,NA
"64","Army Corps of Engineers: Water Resource Authorization and Project Delivery Processes","CRS-2018-RSI-18821","April 30, 2018","Resources, Science, and Industry Division (CRS)","R45185","29 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2018-rsi-18821?accountid=14537","115 -2","Carter,  Nicole T.","Water resources;  Water resources management",NA,"Army Corps of Engineers","Water Resources Development Act",NA,NA,NA,NA,NA,NA
"65","Climate Change and the America’s Transportation Infrastructure Act of 2019 (S. 2302), CRS In Focus","CRS-2019-CRS-1910306","September 03, 2019","Congressional Research Service","IF11299","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2019-crs-1910306?accountid=14537","116 -1","Mallett,  William J.","Transportation;  Pollution control;  Vehicle emissions;  Air pollution;  Environmental regulations;  Infrastructure",NA,NA,"America’s Transportation Infrastructure Act",NA,NA,NA,NA,NA,NA
"66","Floodplain Management and Flood Resilience: Current Policy and Considerations for Congress,  CRS Insight","CRS-2017-RSI-0417","December 22, 2017","Resources, Science, and Industry Division, CRS; Government and Finance Division, CRS","IN10768","4 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2017-rsi-0417?accountid=14537","115 -1","Carter,  Nicole T.; Horn,  Diane P.; Brown,  Jared T.","Disaster relief;  Executive orders;  Flood control;  Floods;  Planning",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Flood Resilience and Risk Reduction: Federal Assistance and Programs","CRS-2019-CRS-1914178","December 17, 2019","Congressional Research Service","R45017","52 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2019-crs-1914178?accountid=14537","116 -1","Carter,  Nicole T.; Horn,  Diane P.; Boyd,  Eugene","Flood insurance;  Disaster relief;  Federal aid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Congressional Authority to Limit Military Operations","CRS-2013-AML-0054","February 19, 2013","American Law Division (Congressional Research Service)","R41989","42 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2013-aml-0054?accountid=14537","113 -1","Elsea,  Jennifer K.; Garcia,  Michael John; Nicola,  Thomas J.","Constitutional law;  War;  Congressional powers;  Presidential powers;  Congressional-executive relations;  Military engagements;  Defense;  National security",NA,NA,"War Powers Resolution",NA,NA,NA,NA,NA,NA
"69","African Elephant Issues:  CITES and CAMPFIRE","CRS-1997-ENR-0063","August 05, 1997","Environment and Natural Resources Policy Division (Congressional Research Service)","97-752 ENR","5 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-1997-enr-0063?accountid=14537","105 -1","Corn,  M. Lynne; Fletcher,  Susan R.","Endangered & extinct species","Zimbabwe","Agency for International Development","Convention on International Trade in Endangered Species of Wild Fauna and Flora",NA,NA,NA,NA,NA,NA
"70","Poverty Measurement in the United States:  History, Current Practice, and Proposed Changes","CRS-2010-DSP-0316","April 12, 2010","Domestic Social Policy Division (Congressional Research Service)","R41187","75 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2010-dsp-0316?accountid=14537","111 -2","Gabe,  Thomas","Public assistance programs;  Government waste;  Poverty;  Statistical data;  Welfare;  Social security",NA,"National Academy of Sciences;  Office of Management and Budget",NA,NA,NA,NA,NA,NA,NA
"71","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2005-FDT-0964","December 15, 2005","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2005-fdt-0964?accountid=14537","109 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"72","Water Resources Development Act of 2018 and America’s Water Infrastructure Act of 2018: An Overview","CRS-2018-CRS-183632","July 18, 2018","Congressional Research Service","R45212","20 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2018-crs-183632?accountid=14537","115 -2","Carter,  Nicole T.; Tiemann,  Mary","Water resources",NA,"Army Corps of Engineers;  Environmental Protection Agency--EPA","Water Resources Development Act; America’s Water Infrastructure Act",NA,NA,NA,NA,NA,NA
"73","Water Resources Development Acts: Primer, CRS In Focus","CRS-2020-CRS-208946","July 28, 2020","Congressional Research Service","IF11322","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-208946?accountid=14537","116 -2","Carter,  Nicole T.; Normand,  Anna E.","Civil engineering;  Water resources",NA,"Army Corps of Engineers","Water Resources Development Act",NA,NA,NA,NA,NA,NA
"74","Water Infrastructure Legislation in the 116th Congress: EPA, Reclamation, and U.S. Army Corps of Engineers Provisions, CRS Insight","CRS-2020-CRS-208977","July 28, 2020","Congressional Research Service","IN11437","4 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-208977?accountid=14537","116 -2","Carter,  Nicole T.; Humphreys,  Elena H.; Ramseur,  Jonathan L.","Infrastructure;  Water resources;  Water resources management;  Government agencies",NA,"Bureau of Reclamation;  Army Corps of Engineers;  Environmental Protection Agency--EPA","Moving Forward Act; Drinking Water Infrastructure Act; America’s Water Infrastructure Act; Water Resources Development Act",NA,NA,NA,NA,NA,NA
"75","FEMA Pre-Disaster Mitigation: The Building Resilient Communities and Infrastructure (BRIC) Program, CRS Insight","CRS-2020-CRS-2010876","October 01, 2020","Congressional Research Service","IN11515","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2010876?accountid=14537","116 -2","Horn,  Diane P.","Infrastructure;  Disaster relief;  Government grants;  Federal aid to states;  Federal territorial relations;  Native North Americans",NA,"Federal Emergency Management Agency",NA,NA,NA,NA,NA,NA,NA
"76","FEMA Pre-Disaster Mitigation: The Building Resilient Communities and Infrastructure (BRIC) Program, CRS Insight","CRS-2020-CRS-2013431","December 15, 2020","Congressional Research Service","IN11515","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2013431?accountid=14537","116 -2","Horn,  Diane P.","Infrastructure;  Disaster relief;  Government grants;  Federal aid to states;  Federal aid to territories;  Native North Americans",NA,"Federal Emergency Management Agency",NA,NA,NA,NA,NA,NA,NA
"77","FEMA Pre-Disaster Mitigation: The Building Resilient Infrastructure and Communities (BRIC) Program, CRS Insight","CRS-2020-CRS-2013495","December 28, 2020","Congressional Research Service","IN11515","3 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-2013495?accountid=14537","116 -2","Horn,  Diane P.","Infrastructure;  Disaster relief;  Government grants;  Federal aid to states;  Federal aid to territories;  Native North Americans",NA,"Federal Emergency Management Agency",NA,NA,NA,NA,NA,NA,NA
"78","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2003-FDT-0809","August 08, 2003","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","18 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2003-fdt-0809?accountid=14537","108 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"79","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2003-FDT-0830","September 30, 2003","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","18 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2003-fdt-0830?accountid=14537","108 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"80","Caribbean Basin Interim Trade Program: CBI/NAFTA Parity","CRS-2003-FDT-0347","February 12, 2003","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2003-fdt-0347?accountid=14537","108 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"81","Caribbean Basin Interim Trade Program: CBI/NAFTA Parity","CRS-2003-FDT-0348","March 25, 2003","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2003-fdt-0348?accountid=14537","108 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"82","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2006-FDT-0959","February 28, 2006","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2006-fdt-0959?accountid=14537","109 -2","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"83","Carribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2002-FDT-0562","May 23, 2002","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","18 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2002-fdt-0562?accountid=14537","107 -2","Pregelj,  Vladimir N.","Tariffs;  North American Free Trade Agreement","Caribbean Basin Initiative;  Caribbean area;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"84","Overview of the Federal Tax System","CRS-2014-GVF-0472","November 21, 2014","Government and Finance Division, CRS","RL32808","29 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2014-gvf-0472?accountid=14537","113 -2","Sherlock,  Molly F.; Marples,  Donald J.","Taxation;  Estate taxes;  Gift taxes;  Withholding taxes;  Tax incentives;  Tax shelters;  Depreciation;  Economic indicators;  Income taxes;  Excise taxes;  Corporate taxes;  Statistical data;  Government information;  Marriage","Business;  Competition",NA,NA,NA,NA,NA,NA,NA,NA
"85","Water Resources Development Act of 2018 (H.R. 8) and America’s Water Infrastructure Act of 2018 (Amendment to H.R. 8): An Overview","CRS-2018-CRS-186977","October 02, 2018","Congressional Research Service","R45212","23 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2018-crs-186977?accountid=14537","115 -2","Carter,  Nicole T.; Tiemann,  Mary","Water resources",NA,"Army Corps of Engineers;  Environmental Protection Agency--EPA","Water Resources Development Act; America’s Water Infrastructure Act",NA,NA,NA,NA,NA,NA
"86","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2005-FDT-1343","March 31, 2005","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2005-fdt-1343?accountid=14537","109 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"87","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2005-FDT-1377","October 31, 2005","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2005-fdt-1377?accountid=14537","109 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"88","Caribbean Basin Interim Trade Program:  CBI/NAFTA Parity","CRS-2005-FDT-0174","January 12, 2005","Foreign Affairs, Defense, and Trade Division (Congressional Research Service)","IB95050","19 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2005-fdt-0174?accountid=14537","109 -1","Pregelj,  Vladimir N.","Chronologies;  North American Free Trade Agreement;  Tariffs","Caribbean area;  Caribbean Basin Initiative;  Mexico",NA,"Caribbean Basin Economic Recovery Act",NA,NA,NA,NA,NA,NA
"89","The Federal Tax System for the 2017 Tax Year","CRS-2017-GVF-0504","December 26, 2017","Government and Finance Division, CRS","R45053","29 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2017-gvf-0504?accountid=14537","115 -1","Sherlock,  Molly F.; Marples,  Donald J.","Fiscal policy;  Income taxes;  Corporate taxes;  Estate taxes;  Gift taxes;  Excise taxes;  Government revenue;  Statistical data;  Government information",NA,NA,"H.R. 1 (115)",NA,NA,NA,NA,NA,NA
"90","Flood Resilience and Risk Reduction: Federal Assistance and Programs","CRS-2018-CRS-184004","July 25, 2018","Congressional Research Service","R45017","49 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2018-crs-184004?accountid=14537","115 -2","Carter,  Nicole T.; Horn,  Diane P.; Brown,  Jared T.","Flood insurance;  Disaster relief;  Federal aid",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Reauthorization of Federal Highway Programs","CRS-2020-CRS-205594","April 22, 2020","Congressional Research Service","R46323","20 p.","https://congressional.proquest.com/congressional/docview/t21.d22.crs-2020-crs-205594?accountid=14537","116 -2","Kirk,  Robert S.","Roads & highways;  Federal budget;  Government spending;  Federal state relations;  State government;  Bridges;  Freight;  Climate change;  Disaster relief;  Public lands;  Native North Americans;  Transportation;  Federal government information;  Traffic accidents & safety;  Federal aid to transportation",NA,"Federal Highway Administration;  Highway Trust Fund","Transportation Infrastructure Finance and Innovation Act",NA,NA,NA,NA,NA,NA
